Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds)
3603,"Embarcadero, San Francisco, CA",2194,507892 (2194),"4/1/2019 - 6/30/2019, Every day, Daily Average",2426,1740,3381
3603,"Embarcadero, San Francisco, CA",2214,910581 (2214),"4/1/2019 - 6/30/2019, Every day, Daily Average",2433,2097,2821
3603,"Embarcadero, San Francisco, CA",2233,507871 (2233),"4/1/2019 - 6/30/2019, Every day, Daily Average",2396,1674,3429
3603,"Embarcadero, San Francisco, CA",2249,910617 (2249),"4/1/2019 - 6/30/2019, Every day, Daily Average",2415,2056,2836
3603,"Embarcadero, San Francisco, CA",2266,910615 (2266),"4/1/2019 - 6/30/2019, Every day, Daily Average",2387,2028,2809
3603,"Embarcadero, San Francisco, CA",2273,910601 (2273),"4/1/2019 - 6/30/2019, Every day, Daily Average",2376,1997,2825
3603,"Embarcadero, San Francisco, CA",2315,507961 (2315),"4/1/2019 - 6/30/2019, Every day, Daily Average",2509,1956,3216
3603,"Embarcadero, San Francisco, CA",2316,507861 (2316),"4/1/2019 - 6/30/2019, Every day, Daily Average",2311,1607,3322
3603,"Embarcadero, San Francisco, CA",2318,910641 (2318),"4/1/2019 - 6/30/2019, Every day, Daily Average",2331,1958,2774
3603,"Embarcadero, San Francisco, CA",2319,910613 (2319),"4/1/2019 - 6/30/2019, Every day, Daily Average",2307,1930,2756
3603,"Embarcadero, San Francisco, CA",2336,910623 (2336),"4/1/2019 - 6/30/2019, Every day, Daily Average",2273,1900,2718
3603,"Embarcadero, San Francisco, CA",2355,507862 (2355),"4/1/2019 - 6/30/2019, Every day, Daily Average",2247,1576,3202
3603,"Embarcadero, San Francisco, CA",2380,507840 (2380),"4/1/2019 - 6/30/2019, Every day, Daily Average",2221,1546,3189
3603,"Embarcadero, San Francisco, CA",2398,910634 (2398),"4/1/2019 - 6/30/2019, Every day, Daily Average",2309,1940,2748
3603,"Embarcadero, San Francisco, CA",2401,507971 (2401),"4/1/2019 - 6/30/2019, Every day, Daily Average",2279,1803,2880
3603,"Embarcadero, San Francisco, CA",2436,507833 (2436),"4/1/2019 - 6/30/2019, Every day, Daily Average",2213,1530,3199
3603,"Embarcadero, San Francisco, CA",2441,910631 (2441),"4/1/2019 - 6/30/2019, Every day, Daily Average",2243,1874,2684
3603,"Embarcadero, San Francisco, CA",2471,507784 (2471),"4/1/2019 - 6/30/2019, Every day, Daily Average",2132,1485,3058
3603,"Embarcadero, San Francisco, CA",2475,507984 (2475),"4/1/2019 - 6/30/2019, Every day, Daily Average",2235,1770,2821
3603,"Embarcadero, San Francisco, CA",2478,910791 (2478),"4/1/2019 - 6/30/2019, Every day, Daily Average",2203,1830,2651
3603,"Embarcadero, San Francisco, CA",2492,507763 (2492),"4/1/2019 - 6/30/2019, Every day, Daily Average",2064,1420,2999
3603,"Embarcadero, San Francisco, CA",2508,910780 (2508),"4/1/2019 - 6/30/2019, Every day, Daily Average",2223,1843,2681
3603,"Embarcadero, San Francisco, CA",2513,507981 (2513),"4/1/2019 - 6/30/2019, Every day, Daily Average",2214,1749,2801
3603,"Embarcadero, San Francisco, CA",2565,508092 (2565),"4/1/2019 - 6/30/2019, Every day, Daily Average",2237,1771,2825
3603,"Embarcadero, San Francisco, CA",2576,507761 (2576),"4/1/2019 - 6/30/2019, Every day, Daily Average",1965,1358,2841
3603,"Embarcadero, San Francisco, CA",2600,910771 (2600),"4/1/2019 - 6/30/2019, Every day, Daily Average",2212,1810,2702
3603,"Embarcadero, San Francisco, CA",2616,910793 (2616),"4/1/2019 - 6/30/2019, Every day, Daily Average",2373,1903,2958
3603,"Embarcadero, San Francisco, CA",2626,910794 (2626),"4/1/2019 - 6/30/2019, Every day, Daily Average",2184,1788,2667
3603,"Embarcadero, San Francisco, CA",2628,508071 (2628),"4/1/2019 - 6/30/2019, Every day, Daily Average",2165,1685,2781
3603,"Embarcadero, San Francisco, CA",2630,910762 (2630),"4/1/2019 - 6/30/2019, Every day, Daily Average",2420,1916,3055
3603,"Embarcadero, San Francisco, CA",2638,910814 (2638),"4/1/2019 - 6/30/2019, Every day, Daily Average",2145,1753,2623
3603,"Embarcadero, San Francisco, CA",2669,507712 (2669),"4/1/2019 - 6/30/2019, Every day, Daily Average",1885,1303,2725
3603,"Embarcadero, San Francisco, CA",2685,910753 (2685),"4/1/2019 - 6/30/2019, Every day, Daily Average",2456,1921,3139
3603,"Embarcadero, San Francisco, CA",2687,507714 (2687),"4/1/2019 - 6/30/2019, Every day, Daily Average",1866,1280,2719
3603,"Embarcadero, San Francisco, CA",2713,507711 (2713),"4/1/2019 - 6/30/2019, Every day, Daily Average",1835,1264,2663
3603,"Embarcadero, San Francisco, CA",2718,910842 (2718),"4/1/2019 - 6/30/2019, Every day, Daily Average",2355,1836,3019
3603,"Embarcadero, San Francisco, CA",2720,910811 (2720),"4/1/2019 - 6/30/2019, Every day, Daily Average",2111,1718,2592
3603,"Embarcadero, San Francisco, CA",2743,910752 (2743),"4/1/2019 - 6/30/2019, Every day, Daily Average",2474,1947,3142
3603,"Embarcadero, San Francisco, CA",2745,910843 (2745),"4/1/2019 - 6/30/2019, Every day, Daily Average",2101,1674,2636
3603,"Embarcadero, San Francisco, CA",2756,508062 (2756),"4/1/2019 - 6/30/2019, Every day, Daily Average",2123,1651,2729
3603,"Embarcadero, San Francisco, CA",2771,910835 (2771),"4/1/2019 - 6/30/2019, Every day, Daily Average",2054,1667,2529
3603,"Embarcadero, San Francisco, CA",2786,507642 (2786),"4/1/2019 - 6/30/2019, Every day, Daily Average",1785,1230,2589
3603,"Embarcadero, San Francisco, CA",2814,508065 (2814),"4/1/2019 - 6/30/2019, Every day, Daily Average",2112,1622,2748
3603,"Embarcadero, San Francisco, CA",2827,910834 (2827),"4/1/2019 - 6/30/2019, Every day, Daily Average",2018,1611,2526
3603,"Embarcadero, San Francisco, CA",2830,910851 (2830),"4/1/2019 - 6/30/2019, Every day, Daily Average",2050,1635,2569
3603,"Embarcadero, San Francisco, CA",2837,507641 (2837),"4/1/2019 - 6/30/2019, Every day, Daily Average",1719,1193,2475
3603,"Embarcadero, San Francisco, CA",2850,910864 (2850),"4/1/2019 - 6/30/2019, Every day, Daily Average",2014,1609,2519
3603,"Embarcadero, San Francisco, CA",2862,507655 (2862),"4/1/2019 - 6/30/2019, Every day, Daily Average",1698,1181,2440
3603,"Embarcadero, San Francisco, CA",2872,508066 (2872),"4/1/2019 - 6/30/2019, Every day, Daily Average",2129,1620,2796
3603,"Embarcadero, San Francisco, CA",2874,910833 (2874),"4/1/2019 - 6/30/2019, Every day, Daily Average",1986,1591,2478
3603,"Embarcadero, San Francisco, CA",2887,507601 (2887),"4/1/2019 - 6/30/2019, Every day, Daily Average",1661,1155,2387
3603,"Embarcadero, San Francisco, CA",2908,910892 (2908),"4/1/2019 - 6/30/2019, Every day, Daily Average",2356,1896,2926
3603,"Embarcadero, San Francisco, CA",2921,507550 (2921),"4/1/2019 - 6/30/2019, Every day, Daily Average",1628,1127,2351
3603,"Embarcadero, San Francisco, CA",2925,508404 (2925),"4/1/2019 - 6/30/2019, Every day, Daily Average",2064,1573,2707
3603,"Embarcadero, San Francisco, CA",2927,910831 (2927),"4/1/2019 - 6/30/2019, Every day, Daily Average",1918,1539,2389
3603,"Embarcadero, San Francisco, CA",2930,910861 (2930),"4/1/2019 - 6/30/2019, Every day, Daily Average",2091,1634,2675
3603,"Embarcadero, San Francisco, CA",2934,507562 (2934),"4/1/2019 - 6/30/2019, Every day, Daily Average",1605,1098,2344
3603,"Embarcadero, San Francisco, CA",2935,507552 (2935),"4/1/2019 - 6/30/2019, Every day, Daily Average",1795,1181,2726
3603,"Embarcadero, San Francisco, CA",2936,507575 (2936),"4/1/2019 - 6/30/2019, Every day, Daily Average",1794,1220,2636
3603,"Embarcadero, San Francisco, CA",2937,507574 (2937),"4/1/2019 - 6/30/2019, Every day, Daily Average",1636,1138,2351
3603,"Embarcadero, San Francisco, CA",2947,508284 (2947),"4/1/2019 - 6/30/2019, Every day, Daily Average",1739,1241,2435
3603,"Embarcadero, San Francisco, CA",2948,507572 (2948),"4/1/2019 - 6/30/2019, Every day, Daily Average",1699,1172,2462
3603,"Embarcadero, San Francisco, CA",2952,910940 (2952),"4/1/2019 - 6/30/2019, Every day, Daily Average",1903,1516,2387
3603,"Embarcadero, San Francisco, CA",2953,507534 (2953),"4/1/2019 - 6/30/2019, Every day, Daily Average",1537,1089,2167
3603,"Embarcadero, San Francisco, CA",2958,508393 (2958),"4/1/2019 - 6/30/2019, Every day, Daily Average",2021,1532,2665
3603,"Embarcadero, San Francisco, CA",2960,508272 (2960),"4/1/2019 - 6/30/2019, Every day, Daily Average",1806,1311,2486
3603,"Embarcadero, San Francisco, CA",2961,910921 (2961),"4/1/2019 - 6/30/2019, Every day, Daily Average",1875,1500,2343
3603,"Embarcadero, San Francisco, CA",2963,507571 (2963),"4/1/2019 - 6/30/2019, Every day, Daily Average",1637,1083,2472
3603,"Embarcadero, San Francisco, CA",2964,507561 (2964),"4/1/2019 - 6/30/2019, Every day, Daily Average",1535,1047,2249
3603,"Embarcadero, San Francisco, CA",2969,508382 (2969),"4/1/2019 - 6/30/2019, Every day, Daily Average",2034,1499,2759
3603,"Embarcadero, San Francisco, CA",2970,508472 (2970),"4/1/2019 - 6/30/2019, Every day, Daily Average",2090,1562,2795
3603,"Embarcadero, San Francisco, CA",2971,508271 (2971),"4/1/2019 - 6/30/2019, Every day, Daily Average",1961,1446,2657
3603,"Embarcadero, San Francisco, CA",2973,508471 (2973),"4/1/2019 - 6/30/2019, Every day, Daily Average",2068,1539,2778
3603,"Embarcadero, San Francisco, CA",2988,507532 (2988),"4/1/2019 - 6/30/2019, Every day, Daily Average",1418,1001,2007
3603,"Embarcadero, San Francisco, CA",2992,508273 (2992),"4/1/2019 - 6/30/2019, Every day, Daily Average",1930,1416,2629
3603,"Embarcadero, San Francisco, CA",2993,508282 (2993),"4/1/2019 - 6/30/2019, Every day, Daily Average",1843,1336,2541
3603,"Embarcadero, San Francisco, CA",2996,910881 (2996),"4/1/2019 - 6/30/2019, Every day, Daily Average",2199,1816,2661
3603,"Embarcadero, San Francisco, CA",2998,508474 (2998),"4/1/2019 - 6/30/2019, Every day, Daily Average",2320,1680,3203
3603,"Embarcadero, San Francisco, CA",3002,508473 (3002),"4/1/2019 - 6/30/2019, Every day, Daily Average",2081,1544,2803
3603,"Embarcadero, San Francisco, CA",3010,507533 (3010),"4/1/2019 - 6/30/2019, Every day, Daily Average",1484,1013,2172
3603,"Embarcadero, San Francisco, CA",3011,508291 (3011),"4/1/2019 - 6/30/2019, Every day, Daily Average",1616,1124,2323
3603,"Embarcadero, San Francisco, CA",3012,910952 (3012),"4/1/2019 - 6/30/2019, Every day, Daily Average",2451,1983,3027
3603,"Embarcadero, San Francisco, CA",3013,910891 (3013),"4/1/2019 - 6/30/2019, Every day, Daily Average",2131,1727,2629
3603,"Embarcadero, San Francisco, CA",3014,910922 (3014),"4/1/2019 - 6/30/2019, Every day, Daily Average",1821,1458,2273
3603,"Embarcadero, San Francisco, CA",3018,910930 (3018),"4/1/2019 - 6/30/2019, Every day, Daily Average",1817,1452,2273
3603,"Embarcadero, San Francisco, CA",3019,910951 (3019),"4/1/2019 - 6/30/2019, Every day, Daily Average",2252,1774,2858
3603,"Embarcadero, San Francisco, CA",3028,407460 (3028),"4/1/2019 - 6/30/2019, Every day, Daily Average",1461,986,2164
3603,"Embarcadero, San Francisco, CA",3029,508361 (3029),"4/1/2019 - 6/30/2019, Every day, Daily Average",1925,1411,2624
3603,"Embarcadero, San Francisco, CA",3031,508371 (3031),"4/1/2019 - 6/30/2019, Every day, Daily Average",2013,1481,2736
3603,"Embarcadero, San Francisco, CA",3033,508372 (3033),"4/1/2019 - 6/30/2019, Every day, Daily Average",2037,1500,2765
3603,"Embarcadero, San Francisco, CA",3035,508482 (3035),"4/1/2019 - 6/30/2019, Every day, Daily Average",2174,1505,3139
3603,"Embarcadero, San Francisco, CA",3042,508285 (3042),"4/1/2019 - 6/30/2019, Every day, Daily Average",1714,1229,2388
3603,"Embarcadero, San Francisco, CA",3044,508323 (3044),"4/1/2019 - 6/30/2019, Every day, Daily Average",1866,1366,2547
3603,"Embarcadero, San Francisco, CA",3046,508483 (3046),"4/1/2019 - 6/30/2019, Every day, Daily Average",2196,1626,2964
3603,"Embarcadero, San Francisco, CA",3047,508503 (3047),"4/1/2019 - 6/30/2019, Every day, Daily Average",2164,1598,2929
3603,"Embarcadero, San Francisco, CA",3048,407406 (3048),"4/1/2019 - 6/30/2019, Every day, Daily Average",1820,1357,2440
3603,"Embarcadero, San Francisco, CA",3052,910901 (3052),"4/1/2019 - 6/30/2019, Every day, Daily Average",1901,1535,2352
3603,"Embarcadero, San Francisco, CA",3053,508313 (3053),"4/1/2019 - 6/30/2019, Every day, Daily Average",1742,1261,2406
3603,"Embarcadero, San Francisco, CA",3057,508321 (3057),"4/1/2019 - 6/30/2019, Every day, Daily Average",1816,1323,2491
3603,"Embarcadero, San Francisco, CA",3059,508312 (3059),"4/1/2019 - 6/30/2019, Every day, Daily Average",1679,1208,2332
3603,"Embarcadero, San Francisco, CA",3060,407410 (3060),"4/1/2019 - 6/30/2019, Every day, Daily Average",1773,1248,2518
3603,"Embarcadero, San Francisco, CA",3063,407443 (3063),"4/1/2019 - 6/30/2019, Every day, Daily Average",1566,1188,2063
3603,"Embarcadero, San Francisco, CA",3068,407403 (3068),"4/1/2019 - 6/30/2019, Every day, Daily Average",1854,1325,2592
3603,"Embarcadero, San Francisco, CA",3069,910911 (3069),"4/1/2019 - 6/30/2019, Every day, Daily Average",1958,1579,2426
3603,"Embarcadero, San Francisco, CA",3071,407445 (3071),"4/1/2019 - 6/30/2019, Every day, Daily Average",1461,1058,2016
3603,"Embarcadero, San Francisco, CA",3073,407450 (3073),"4/1/2019 - 6/30/2019, Every day, Daily Average",1413,956,2086
3603,"Embarcadero, San Francisco, CA",3076,407446 (3076),"4/1/2019 - 6/30/2019, Every day, Daily Average",1450,1044,2013
3603,"Embarcadero, San Francisco, CA",3077,910960 (3077),"4/1/2019 - 6/30/2019, Every day, Daily Average",2371,1901,2955
3603,"Embarcadero, San Francisco, CA",3079,407393 (3079),"4/1/2019 - 6/30/2019, Every day, Daily Average",2034,1465,2823
3603,"Embarcadero, San Francisco, CA",3080,508492 (3080),"4/1/2019 - 6/30/2019, Every day, Daily Average",2332,1672,3251
3603,"Embarcadero, San Francisco, CA",3081,407384 (3081),"4/1/2019 - 6/30/2019, Every day, Daily Average",1991,1430,2771
3603,"Embarcadero, San Francisco, CA",3084,407381 (3084),"4/1/2019 - 6/30/2019, Every day, Daily Average",1918,1384,2657
3603,"Embarcadero, San Francisco, CA",3086,407421 (3086),"4/1/2019 - 6/30/2019, Every day, Daily Average",1714,1258,2334
3603,"Embarcadero, San Francisco, CA",3088,910973 (3088),"4/1/2019 - 6/30/2019, Every day, Daily Average",1712,1369,2140
3603,"Embarcadero, San Francisco, CA",3090,407246 (3090),"4/1/2019 - 6/30/2019, Every day, Daily Average",1415,1028,1947
3603,"Embarcadero, San Francisco, CA",3091,407431 (3091),"4/1/2019 - 6/30/2019, Every day, Daily Average",1665,1167,2373
3603,"Embarcadero, San Francisco, CA",3094,407244 (3094),"4/1/2019 - 6/30/2019, Every day, Daily Average",1366,924,2019
3603,"Embarcadero, San Francisco, CA",3095,407420 (3095),"4/1/2019 - 6/30/2019, Every day, Daily Average",1846,1324,2572
3603,"Embarcadero, San Francisco, CA",3097,508502 (3097),"4/1/2019 - 6/30/2019, Every day, Daily Average",2253,1675,3029
3603,"Embarcadero, San Francisco, CA",3098,910912 (3098),"4/1/2019 - 6/30/2019, Every day, Daily Average",1945,1562,2421
3603,"Embarcadero, San Francisco, CA",3100,407241 (3100),"4/1/2019 - 6/30/2019, Every day, Daily Average",1353,909,2013
3603,"Embarcadero, San Francisco, CA",3103,508311 (3103),"4/1/2019 - 6/30/2019, Every day, Daily Average",1671,1197,2332
3603,"Embarcadero, San Francisco, CA",3104,407432 (3104),"4/1/2019 - 6/30/2019, Every day, Daily Average",1744,1214,2505
3603,"Embarcadero, San Francisco, CA",3106,407322 (3106),"4/1/2019 - 6/30/2019, Every day, Daily Average",2111,1582,2816
3603,"Embarcadero, San Francisco, CA",3108,407325 (3108),"4/1/2019 - 6/30/2019, Every day, Daily Average",1998,1543,2586
3603,"Embarcadero, San Francisco, CA",3110,407321 (3110),"4/1/2019 - 6/30/2019, Every day, Daily Average",1985,1457,2703
3603,"Embarcadero, San Francisco, CA",3111,508302 (3111),"4/1/2019 - 6/30/2019, Every day, Daily Average",1674,1194,2345
3603,"Embarcadero, San Francisco, CA",3113,407353 (3113),"4/1/2019 - 6/30/2019, Every day, Daily Average",1522,1076,2151
3603,"Embarcadero, San Francisco, CA",3114,407383 (3114),"4/1/2019 - 6/30/2019, Every day, Daily Average",1972,1444,2692
3603,"Embarcadero, San Francisco, CA",3116,508301 (3116),"4/1/2019 - 6/30/2019, Every day, Daily Average",1623,1152,2284
3603,"Embarcadero, San Francisco, CA",3117,407382 (3117),"4/1/2019 - 6/30/2019, Every day, Daily Average",1756,1289,2390
3603,"Embarcadero, San Francisco, CA",3119,407371 (3119),"4/1/2019 - 6/30/2019, Every day, Daily Average",1570,1156,2130
3603,"Embarcadero, San Francisco, CA",3120,407370 (3120),"4/1/2019 - 6/30/2019, Every day, Daily Average",1564,1131,2162
3603,"Embarcadero, San Francisco, CA",3121,407361 (3121),"4/1/2019 - 6/30/2019, Every day, Daily Average",1424,1045,1940
3603,"Embarcadero, San Francisco, CA",3123,910980 (3123),"4/1/2019 - 6/30/2019, Every day, Daily Average",1669,1337,2083
3603,"Embarcadero, San Francisco, CA",3126,407360 (3126),"4/1/2019 - 6/30/2019, Every day, Daily Average",1461,1040,2052
3603,"Embarcadero, San Francisco, CA",3127,407324 (3127),"4/1/2019 - 6/30/2019, Every day, Daily Average",2079,1368,3157
3603,"Embarcadero, San Francisco, CA",3128,910972 (3128),"4/1/2019 - 6/30/2019, Every day, Daily Average",1936,1556,2407
3603,"Embarcadero, San Francisco, CA",3129,407351 (3129),"4/1/2019 - 6/30/2019, Every day, Daily Average",1433,1000,2052
3603,"Embarcadero, San Francisco, CA",3130,407323 (3130),"4/1/2019 - 6/30/2019, Every day, Daily Average",2049,1509,2782
3603,"Embarcadero, San Francisco, CA",3133,508524 (3133),"4/1/2019 - 6/30/2019, Every day, Daily Average",2304,1710,3103
3603,"Embarcadero, San Francisco, CA",3134,407331 (3134),"4/1/2019 - 6/30/2019, Every day, Daily Average",1740,1275,2374
3603,"Embarcadero, San Francisco, CA",3137,407344 (3137),"4/1/2019 - 6/30/2019, Every day, Daily Average",1516,1140,2014
3603,"Embarcadero, San Francisco, CA",3138,407341 (3138),"4/1/2019 - 6/30/2019, Every day, Daily Average",1930,1395,2668
3603,"Embarcadero, San Francisco, CA",3139,407310 (3139),"4/1/2019 - 6/30/2019, Every day, Daily Average",1962,1458,2638
3603,"Embarcadero, San Francisco, CA",3140,407342 (3140),"4/1/2019 - 6/30/2019, Every day, Daily Average",1329,1008,1750
3603,"Embarcadero, San Francisco, CA",3143,407343 (3143),"4/1/2019 - 6/30/2019, Every day, Daily Average",1335,998,1784
3603,"Embarcadero, San Francisco, CA",3145,407301 (3145),"4/1/2019 - 6/30/2019, Every day, Daily Average",1988,1486,2658
3603,"Embarcadero, San Francisco, CA",3146,407170 (3146),"4/1/2019 - 6/30/2019, Every day, Daily Average",1604,1112,2312
3603,"Embarcadero, San Francisco, CA",3147,407352 (3147),"4/1/2019 - 6/30/2019, Every day, Daily Average",1280,924,1771
3603,"Embarcadero, San Francisco, CA",3148,407332 (3148),"4/1/2019 - 6/30/2019, Every day, Daily Average",1852,1352,2535
3603,"Embarcadero, San Francisco, CA",3149,407302 (3149),"4/1/2019 - 6/30/2019, Every day, Daily Average",1967,1472,2627
3603,"Embarcadero, San Francisco, CA",3150,407303 (3150),"4/1/2019 - 6/30/2019, Every day, Daily Average",1930,1413,2634
3603,"Embarcadero, San Francisco, CA",3152,508522 (3152),"4/1/2019 - 6/30/2019, Every day, Daily Average",2332,1735,3133
3603,"Embarcadero, San Francisco, CA",3153,407242 (3153),"4/1/2019 - 6/30/2019, Every day, Daily Average",1198,825,1738
3603,"Embarcadero, San Francisco, CA",3156,407346 (3156),"4/1/2019 - 6/30/2019, Every day, Daily Average",1900,1388,2599
3603,"Embarcadero, San Francisco, CA",3157,407354 (3157),"4/1/2019 - 6/30/2019, Every day, Daily Average",1573,1122,2204
3603,"Embarcadero, San Francisco, CA",3158,508541 (3158),"4/1/2019 - 6/30/2019, Every day, Daily Average",2384,1777,3197
3603,"Embarcadero, San Francisco, CA",3160,407181 (3160),"4/1/2019 - 6/30/2019, Every day, Daily Average",1849,1354,2524
3603,"Embarcadero, San Francisco, CA",3162,407298 (3162),"4/1/2019 - 6/30/2019, Every day, Daily Average",1939,1442,2605
3603,"Embarcadero, San Francisco, CA",3163,407291 (3163),"4/1/2019 - 6/30/2019, Every day, Daily Average",1845,1350,2520
3603,"Embarcadero, San Francisco, CA",3164,407348 (3164),"4/1/2019 - 6/30/2019, Every day, Daily Average",1583,1146,2186
3603,"Embarcadero, San Francisco, CA",3166,407281 (3166),"4/1/2019 - 6/30/2019, Every day, Daily Average",1804,1311,2481
3603,"Embarcadero, San Francisco, CA",3168,407297 (3168),"4/1/2019 - 6/30/2019, Every day, Daily Average",1880,1396,2531
3603,"Embarcadero, San Francisco, CA",3169,407292 (3169),"4/1/2019 - 6/30/2019, Every day, Daily Average",1618,1215,2154
3603,"Embarcadero, San Francisco, CA",3171,508523 (3171),"4/1/2019 - 6/30/2019, Every day, Daily Average",2376,1774,3180
3603,"Embarcadero, San Francisco, CA",3172,407256 (3172),"4/1/2019 - 6/30/2019, Every day, Daily Average",1675,1236,2269
3603,"Embarcadero, San Francisco, CA",3173,910991 (3173),"4/1/2019 - 6/30/2019, Every day, Daily Average",1533,1204,1951
3603,"Embarcadero, San Francisco, CA",3174,407252 (3174),"4/1/2019 - 6/30/2019, Every day, Daily Average",1734,1263,2380
3603,"Embarcadero, San Francisco, CA",3175,407282 (3175),"4/1/2019 - 6/30/2019, Every day, Daily Average",1753,1264,2429
3603,"Embarcadero, San Francisco, CA",3176,407251 (3176),"4/1/2019 - 6/30/2019, Every day, Daily Average",1692,1214,2357
3603,"Embarcadero, San Francisco, CA",3177,910974 (3177),"4/1/2019 - 6/30/2019, Every day, Daily Average",1607,1280,2016
3603,"Embarcadero, San Francisco, CA",3178,407296 (3178),"4/1/2019 - 6/30/2019, Every day, Daily Average",1842,1359,2494
3603,"Embarcadero, San Francisco, CA",3180,407243 (3180),"4/1/2019 - 6/30/2019, Every day, Daily Average",1783,1237,2569
3603,"Embarcadero, San Francisco, CA",3181,407283 (3181),"4/1/2019 - 6/30/2019, Every day, Daily Average",1717,1234,2388
3603,"Embarcadero, San Francisco, CA",3185,407160 (3185),"4/1/2019 - 6/30/2019, Every day, Daily Average",1448,1021,2052
3603,"Embarcadero, San Francisco, CA",3188,407254 (3188),"4/1/2019 - 6/30/2019, Every day, Daily Average",1337,954,1872
3603,"Embarcadero, San Francisco, CA",3189,407295 (3189),"4/1/2019 - 6/30/2019, Every day, Daily Average",1806,1323,2464
3603,"Embarcadero, San Francisco, CA",3190,407253 (3190),"4/1/2019 - 6/30/2019, Every day, Daily Average",1645,1177,2298
3603,"Embarcadero, San Francisco, CA",3191,407284 (3191),"4/1/2019 - 6/30/2019, Every day, Daily Average",1669,1193,2334
3603,"Embarcadero, San Francisco, CA",3192,407182 (3192),"4/1/2019 - 6/30/2019, Every day, Daily Average",1649,1217,2234
3603,"Embarcadero, San Francisco, CA",3193,407183 (3193),"4/1/2019 - 6/30/2019, Every day, Daily Average",1658,1196,2298
3603,"Embarcadero, San Francisco, CA",3194,407184 (3194),"4/1/2019 - 6/30/2019, Every day, Daily Average",1623,1166,2258
3603,"Embarcadero, San Francisco, CA",3195,407271 (3195),"4/1/2019 - 6/30/2019, Every day, Daily Average",1769,1283,2437
3603,"Embarcadero, San Francisco, CA",3196,407161 (3196),"4/1/2019 - 6/30/2019, Every day, Daily Average",1482,1074,2043
3603,"Embarcadero, San Francisco, CA",3197,910971 (3197),"4/1/2019 - 6/30/2019, Every day, Daily Average",1574,1249,1982
3603,"Embarcadero, San Francisco, CA",3198,407245 (3198),"4/1/2019 - 6/30/2019, Every day, Daily Average",1253,872,1798
